No_Pelajar,Kod_Kursus_Pelajar,Semester_Pelajar,Jantina,Kod_Negeri_Pelajar,CGPA,GPA,Has_Award,Total_Credit_Taken,Avg_Subjek_Attendance,Avg_Subjek_Marks,Total_Dropped,Total_Failed,Total_Koko,PLO_1,PLO_2,PLO_3,PLO_4,PLO_5,PLO_6,PLO_7,PLO_8,PLO_9,Source_File,Status_Pelajar
333571244596,DGA,4,L,D,3.45,3.5,True,63,93.10344827586206,83.62068965517241,0,0,0,68.50238066666667,81.12433373333333,76.3869999,76.5830002,82.63785714285714,84.91666666666667,71.24333433333334,80.709999,81.25,JJ2025,Sederhana
333571244606,DGA,4,L,D,3.46,3.68,True,63,93.10344827586206,83.55172413793103,0,0,0,67.44380952380952,81.75166693333334,79.6119998,75.7779999,82.24857107142857,80.75,80.97000133333334,76.77000050000001,90.0,JJ2025,Sederhana
333571244619,DGA,4,L,D,3.43,3.6,True,63,93.10344827586206,83.0,0,0,0,68.16857152380952,80.86000016666667,76.2100007,72.8830002,83.13999992857143,81.16666666666667,71.24333433333334,80.13999949999999,87.5,JJ2025,Sederhana
333571244622,DGA,4,L,B,3.46,3.68,True,63,93.10344827586206,83.34482758620689,0,0,0,61.19619061904762,82.27500003333333,79.3520004,78.39400020000001,83.60142842857144,80.20833333333333,76.51666766666666,81.965,75.0,JJ2025,Sederhana
333571244635,DGA,4,L,T,3.64,3.73,True,63,92.93103448275862,86.3103448275862,0,0,0,73.86285723809524,82.62233376666667,78.2260002,82.0630005,84.76642821428571,89.875,81.81666566666667,88.424999,88.75,JJ2025,Sederhana
333571244648,DGA,4,L,D,3.78,3.93,True,63,92.89655172413794,87.6896551724138,0,0,0,76.03142799999999,85.81799976666666,82.4449996,82.25299989999999,87.442143,89.58333333333333,79.24333433333334,79.19850149999999,81.25,JJ2025,Sederhana
333571244651,DGA,4,L,D,3.67,3.66,True,63,93.10344827586206,86.65517241379311,0,0,0,69.25142885714286,85.46266683333333,74.7870003,81.0729996,87.49428557142858,90.0,74.91000100000001,82.5400005,93.75,JJ2025,Sederhana
333571244664,DGA,4,L,T,3.67,3.65,True,63,93.10344827586206,86.55172413793103,0,0,0,74.92285704761905,83.58500006666667,83.0310004,81.7660004,85.61142835714286,85.83333333333333,77.87999966666666,82.079998,75.0,JJ2025,Sederhana
333571244729,ITW,4,L,T,3.88,4.0,True,60,92.85714285714286,89.89285714285714,0,0,0,84.05555555555556,85.53787884848484,91.25545427272728,82.73142785714286,95.65,91.25,90.8500005,80.715,77.5,JJ2025,Sederhana
333571244732,ITW,4,L,T,3.13,3.44,False,60,92.85714285714286,81.07142857142857,0,0,0,70.47222222222223,72.08787866666667,86.77545518181817,72.40142885714286,84.25,88.75,84.4974995,77.285,70.0,JJ2025,Sederhana
333571244758,ITW,4,L,T,3.65,3.81,True,60,92.85714285714286,86.32142857142857,0,0,0,72.05555555555556,85.49606048484848,86.18090954545454,74.18000028571429,86.05,85.0,85.2749995,71.35499949999999,82.5,JJ2025,Sederhana
333571244761,ITW,4,L,D,3.59,3.65,True,60,92.85714285714286,86.32142857142857,0,0,0,79.69444444444444,79.44000015151515,87.9218189090909,77.90142814285716,90.0,86.25,87.82500075,78.35499949999999,80.0,JJ2025,Sederhana
333571244787,ITW,4,L,T,3.19,3.4,False,60,92.64285714285714,81.71428571428571,0,0,0,69.38888888888889,73.36696981818181,81.81272754545454,77.85428514285715,89.9,86.25,82.4850005,73.3199995,72.5,JJ2025,Sederhana
333571244790,ITW,4,L,D,3.35,3.61,True,60,92.85714285714286,83.82142857142857,0,0,0,76.61111111111111,74.49484854545454,87.70909127272726,81.28285657142858,92.35,83.75,88.5,77.1800005,82.5,JJ2025,Sederhana
333571244800,ITW,4,L,D,3.52,3.59,True,60,92.85714285714286,85.07142857142857,0,0,0,72.86111111111111,80.1069699090909,88.56909109090908,75.94142914285715,87.45,90.0,80.7125015,73.0699995,81.25,JJ2025,Sederhana
