Id_Semester,No_Pelajar,Sem_Pelajar,Kod_Subjek,Kod_Ujian,Markah,Peratus,Weighted,Exam_Type
41,"333571242802",1,"GVD10013","LO1T2",77.779999,10,7.7800,"PS"
41,"333571242802",1,"GVD10013","LO1T1",22,10,2.2000,"PS"
41,"333571242802",1,"GVV10023","LO5S1",88.889999,10,8.8900,"PS"
41,"333571242802",1,"GVV10023","LO2P2",84.849998,30,25.4600,"PS"
41,"333571242802",1,"DUY10021","LO9S4",78,20,15.6000,"PS"
41,"333571242899",1,"DUY10021","LO5S1",100,20,20.0000,"PS"
41,"333571242899",1,"DUY10021","LO6S2",90,40,36.0000,"PS"
41,"333571242899",1,"DUY10021","LO6S*",100,20,20.0000,"PS"
41,"333571242802",1,"GVV10023","LO2P1",80,40,32.0000,"PS"
41,"333571242802",1,"GVV10023","LO1T2",62,10,6.2000,"PS"
41,"333571242802",1,"GVV10023","LO1T1",87,10,8.7000,"PS"
41,"333571242802",1,"NUM10192","LO4S1",66.5,10,6.6500,"PS"
41,"333571242802",1,"NUM10192","LO3T3",82.5,20,16.5000,"PS"
41,"333571242802",1,"NUM10192","LO1T2",77,50,38.5000,"PS"
41,"333571242802",1,"NUM10192","LO1T1",57.5,20,11.5000,"PS"
41,"333571242802",1,"GVV10033","LO5S1",60,10,6.0000,"PS"
41,"333571242802",1,"GVV10033","LO2P3",95.279999,30,28.5800,"PS"
41,"333571242802",1,"GVV10033","LO2P2",92.919998,20,18.5800,"PS"
41,"333571242802",1,"GVV10033","LO2P1",93.010002,20,18.6000,"PS"
41,"333571242802",1,"GVV10033","LO1T1",57.5,20,11.5000,"PS"
41,"333571242802",1,"NUS10000","K1(F)",100,100,100.0000,"PS"
41,"333571242815",1,"NUE10000","ATTEND",100,100,100.0000,"PS"
41,"333571242815",1,"GVD10013","LO6S1",72,10,7.2000,"PS"
41,"333571242815",1,"GVD10013","LO2P3",70.769997,30,21.2300,"PS"
41,"333571242815",1,"GVD10013","LO2P2",70.769997,20,14.1500,"PS"
41,"333571242815",1,"GVD10013","LO2P1",63.080002,20,12.6200,"PS"
41,"333571242815",1,"GVD10013","LO1T2",77.779999,10,7.7800,"PS"
41,"333571242815",1,"GVD10013","LO1T1",46,10,4.6000,"PS"
41,"333571242815",1,"GVV10023","LO5S1",94.400002,10,9.4400,"PS"
41,"333571242815",1,"GVV10023","LO2P2",84.849998,30,25.4600,"PS"
41,"333571242815",1,"GVV10023","LO2P1",83.330002,40,33.3300,"PS"
41,"333571242815",1,"GVV10023","LO1T2",80,10,8.0000,"PS"
41,"333571242815",1,"GVV10023","LO1T1",73,10,7.3000,"PS"
41,"333571242815",1,"NUM10192","LO4S1",72,10,7.2000,"PS"
41,"333571242815",1,"NUM10192","LO3T3",85,20,17.0000,"PS"
41,"333571242815",1,"NUM10192","LO1T2",81,50,40.5000,"PS"
41,"333571242815",1,"NUM10192","LO1T1",87.5,20,17.5000,"PS"
41,"333571242815",1,"GVV10033","LO5S1",73.330002,10,7.3300,"PS"
